name,place,ip,url
Radio Habana Cuba,Ctro. Habana,10.3.43.100,McW3fLhs
Radio Rebelde,Plaza,10.3.8.100,zrXXWK9F
Radio Rebelde AM,Plaza,10.3.8.101,kHKL7tWd
Radio Progreso,Ctro. Habana,10.3.47.100,XjfW7qWN
Radio Reloj,Plaza,10.3.9.100,b3jbfThq
Radio Musical Nacional,Plaza,10.3.45.100,Nbtz7HT3
Radio Enciclopedia,Plaza,10.3.41.100,9Rnrbjzq
Radio Taíno,Plaza,10.3.15.100,3MCwWg3V
Radio Cadena Habana,Plaza,10.3.75.100,Jdq3Rbrg
Radio Ciudad de La Habana,La Habana,10.3.57.100,g73XCjCH
Radio Guamá,Pinar del Río,10.1.5.100,ngcdcV3k
Radio Caribe,I. Juventud,10.15.1.100,dXhtHs4P
Radio Artemisa,Artemisa,10.2.5.100,9HzjRcjX
Radio Mayabeque,Mayabeque,10.2.9.100,Rsrm7P9h
Radio 26,Matanzas,10.4.9.100,LsxKNz7b
Radio CMHW,Santa Clara,10.5.9.100,TsxMM94R
Radio Ciudad del Mar,Cienfuegos,10.6.7.100,CL7jRXqn
Radio Sancti Spíritus,Sancti Spíritus,10.7.13.100,NqWrgw7j
Radio Surco,Ciego de Ávila,10.8.7.100,F9tgnJVT
Radio Cadena Agramonte,Camagüey,10.9.3.101,j99xztkT
Radio Victoria,Las Tunas,10.10.9.100,P77NJX4X
Radio Angulo,Holguín,10.11.17.100,hmVcdgM7
Radio Bayamo,Bayamo,10.12.9.100,7hdNcTbM
Radio Revolución,S. de Cuba,10.13.23.100,C9vVPN7h
Radio Trinchera,Guantánamo,10.14.9.100,Csb3zdfv
Radio Minas,M. Matahambre,10.1.1.100,X9XNRkW4
Radio Sandino,Sandino,10.1.3.100,fc79vKJX
Radio Ariguanabo,S.A.B,10.2.3.100,LHNf74bt
Radio Litoral Mariel,S. C. N.,no montado,r3dT3Mv7
Radio Jaruco,Jaruco,10.2.11.100,KH9tVwrC
Radio Camoa,S. J. L,10.2.7.100,7vCk4tnh
Radio La voz del Litoral,Santa Cruz,10.2.1.100,Nr3dhCLf
Radio Metropolitana,La Habana,10.3.53.101,ktW3mW74
Radio Coco,La Habana,10.3.53.100,fvc4RVRz
Radio Ciudad Bandera,Cárdenas,10.4.1.100,rvNtC9rC
Radio Llanura de Colón,Colón,10.4.3.100,sjcNk3Jb
Radio Victoria de Girón,Jagüey Grande,10.4.7.6,cgMTxX9V
Radio Ciénaga,C. de Zapata,10.4.11.6,7XPwcVbL
Radio Varadero,Varadero,10.4.5.100,jWCmP3Fj
Radio Caibarién,Caibarién,10.5.1.100,srJ4vqkv
Radio Arimao,Manicaragua,10.5.37.100,4fNcwkpC
